"N_clust","St_dev","Obs_clust"
661,324.102407576743,206
935,314.491217771179,267
581,344.164558865892,200
668,341.496339046849,202
991,256.38289781746,269
925,261.8546208276,291
883,345.383223181849,283
850,314.972925190112,284
655,357.331378563321,207
996,354.197924743065,314
501,355.320662849734,188
741,341.492089142624,231
863,321.741033934747,260
671,343.011886046447,207
806,343.711950202993,256
855,306.62647584631,255
860,355.524974825503,273
559,396.088135654911,194
774,353.892079192567,261
675,442.026856203404,250
827,279.086008242997,262
770,273.122650119965,253
592,439.901496683902,220
587,472.086994455728,210
844,338.007549673006,255
689,407.042254156934,238
430,453.571788410092,153
698,410.25233300919,223
632,419.570986768156,216
590,443.811138232628,210
711,368.694468428899,240
492,468.05245897076,168
723,304.258201010412,238
632,363.791804765712,179
849,381.446079923246,269
495,430.095803930258,164
616,459.645159419929,214
352,460.141434985568,131
572,494.358307657826,204
614,348.537426004669,192
477,455.210111000177,170
735,412.338818405647,258
578,433.995768166092,204
739,372.642620940571,244
465,387.635342422634,163
923,326.307746179061,290
347,462.763656886715,128
702,351.156392034154,228
722,387.452578601947,244
581,383.770948916287,183
740,332.20057482239,219
783,392.5380661882,248
898,319.676982490711,283
673,358.057592381637,228
576,383.457846277769,191
511,461.955236676282,187
417,457.641244027685,152
460,415.406216204548,192
938,357.573902531346,291
967,295.857459885921,283
795,342.167496648298,259
609,324.898014479017,207
341,406.891371268624,113
716,306.833469703623,212
903,279.698205049062,284
464,486.736361749808,159
551,336.897535109251,193
520,419.400748598267,181
796,402.217760037889,254
830,355.136138190538,266
345,467.616466539996,138
683,398.185575644138,221
632,364.220737677057,209
756,324.290221327917,252
562,424.937527550072,205
731,400.486977603264,235
554,425.956426954719,192
711,411.798927441176,241
573,421.764998680664,184
540,424.734113190881,175
580,387.219189794127,184
667,352.147132627619,207
667,450.709980530894,237
646,426.751573100787,220
820,365.117032727939,266
828,347.374450667869,258
612,426.05394554233,209
490,448.295811478142,166
804,398.984813048146,269
815,285.386338425574,270
796,276.427393522707,245
901,333.273466733236,306
694,380.703812578079,238
392,464.664251210392,133
889,316.129296326052,282
384,426.478260617266,160
580,397.708411974896,207
992,285.24529801006,280
735,325.380638716572,229
260,481.994561946249,104
971,334.211478748454,286
674,362.825104731599,235
882,296.330265080558,263
719,400.171551824738,237
703,310.314743994802,224
537,482.195416348462,192
859,370.770982061734,252
370,436.459179629753,139
588,439.254253019831,209
375,446.237203786245,157
451,438.618109435646,156
395,484.592448498486,146
543,365.749475872817,182
823,370.939738295178,287
423,482.81810496303,160
818,286.088345092107,232
457,399.738648342439,167
590,336.766726385299,200
726,277.697617833829,232
647,422.833022683943,222
841,292.316983934587,270
686,363.15082426457,202
739,287.703487256359,228
586,394.884959507208,205
691,424.054344643596,249
584,359.549405698882,186
554,424.287567636944,201
432,480.535102065517,173
825,324.449646455524,233
795,357.039697909212,249
349,464.760465047909,129
728,360.918645634334,231
1057,276.259531696681,293
1528,205.998003620294,428
1297,243.157547828027,352
1191,260.176561089368,353
1419,241.755654092095,403
1364,249.699059975818,415
1154,279.607832944001,353
1127,278.897219474182,337
1303,259.172874635493,403
1522,226.523010802296,482
1000,241.821534296891,288
1008,289.351190397967,291
1167,258.889795507872,328
1380,267.663143460361,421
1110,309.062620785638,357
1578,228.876536116313,433
1107,275.435298307298,319
1636,226.232780276427,461
1252,250.683266584529,355
1659,208.745573238435,446
1160,249.087863618118,332
1207,288.909859490332,363
1057,308.5365756758,331
1052,240.969913692088,301
1012,294.566551588482,295
1406,265.288105828911,411
1336,216.281938781894,409
1277,235.131448675286,351
1285,215.464016672746,367
1220,260.409344454084,341
1471,242.718544357446,436
1529,261.661925919457,429
1085,246.630263448242,318
1268,240.69605236684,340
1331,241.681239070258,404
1111,265.603484476959,332
1551,202.184084619862,449
1136,276.132682691686,343
1629,207.540356626686,443
1066,241.265703817641,289
1335,269.707686940493,366
1369,253.385576051652,387
1172,282.085565641705,327
1486,229.305299467966,422
1802,226.454817489579,463
1494,219.407758048859,391
1448,218.988734925492,385
1477,237.532831478538,411
1298,227.370593979972,389
1601,242.938902580011,462
1176,260.221553352807,322
1064,267.043278671511,320
1251,248.968429248451,346
1061,322.954949122833,345
1290,279.818710418824,379
1120,323.458590703561,354
1673,218.809077501923,452
1517,240.613147713654,403
1351,252.607072933193,382
1225,272.517613131343,372
1267,248.081350589284,386
1349,240.338423306377,390
1324,228.044364855966,377
1253,228.825203628614,356
1497,207.716040996415,426
1052,271.690604680446,300
1150,252.372007778435,333
1397,260.939410680974,371
1303,251.730937458779,375
1103,306.879886746862,351
1412,234.97413557374,421
1203,290.78505319944,358
1032,262.62598528179,306
1228,255.525709839079,377
1448,218.445881146114,411
1192,235.078790574399,334
1161,293.596404726042,350
1132,284.609262349949,355
1216,279.727186775538,365
1282,274.418729911413,420
1426,223.921289860875,409
1474,220.065138915208,404
